categoria,porcentagem
Open Source,0.05263157894736842
Mobile,0.02631578947368421
Java,2.526315789473684
Software Engineering,0.42105263157894735
Internet,1.0789473684210527
Web Development,0.4473684210526316
Miscellaneous,0.05263157894736842
Microsoft .NET,0.8947368421052632
Microsoft,0.21052631578947367
Next Generation Databases,0.02631578947368421
PowerBuilder,0.18421052631578946
Client-Server,0.2894736842105263
Computer Graphics,0.15789473684210525
Object-Oriented Programming,0.10526315789473684
S,0.02631578947368421
Networking,0.18421052631578946
Theory,0.18421052631578946
Programming,0.3157894736842105
Python,0.15789473684210525
Mobile Technology,0.15789473684210525
Business,0.3157894736842105
P,0.02631578947368421
XML,0.10526315789473684
Perl,0.15789473684210525
java,0.02631578947368421
Microsoft/.NET,0.02631578947368421
Miscella,0.02631578947368421
Object-Technology Programming,0.02631578947368421
,0.05263157894736842
internet,0.02631578947368421
.NET,0.02631578947368421
Algorithmic Art,0.02631578947368421
PHP,0.02631578947368421
SOA,0.02631578947368421
Computer Graph,0.02631578947368421
Client Server,0.02631578947368421
In Action,0.02631578947368421
Software Development,0.02631578947368421
